Ash,Magnesium,Hue
2.43,127,1.04
2.14,100,1.05
2.67,101,1.03
2.5,113,0.86
2.87,118,1.04
2.45,112,1.05
2.45,96,1.02
2.61,121,1.06
2.17,97,1.08
2.27,98,1.01
2.3,105,1.25
2.32,95,1.17
2.41,89,1.15
2.39,91,1.25
2.38,102,1.2
2.7,112,1.28
2.72,120,1.07
2.62,115,1.13
2.48,108,1.23
2.56,116,0.96
2.28,126,1.09
2.65,102,1.03
2.36,101,1.11
2.52,95,1.09
2.61,96,1.12
3.22,124,1.13
2.62,93,0.92
2.14,94,1.02
2.8,107,1.25
2.21,96,1.04
2.7,101,1.19
2.36,106,1.09
2.36,104,1.23
2.7,132,1.25
2.65,110,1.1
2.41,100,1.04
2.84,110,1.09
2.55,98,1.12
2.1,98,1.18
2.51,128,0.89
2.31,117,0.95
2.12,90,0.91
2.59,101,0.88
2.29,103,0.82
2.1,107,0.88
2.44,111,0.87
2.28,102,1.04
2.12,101,0.91
2.4,103,1.07
2.27,108,1.12
2.04,92,1.12
2.6,94,1.24
2.42,111,1.01
2.68,115,1.13
2.25,118,0.92
2.46,116,0.98
2.3,118,0.94
2.68,102,1.07
2.5,108,0.89
1.36,88,1.05
2.28,101,1.25
2.02,100,0.98
1.92,94,1.23
2.16,87,1.22
2.53,104,1.45
2.56,98,1.19
1.7,78,1.12
1.92,78,1.12
2.36,110,1.02
1.75,151,1.28
2.21,103,0.906
2.67,86,1.36
2.24,87,0.98
2.6,139,1.31
2.3,101,0.99
1.92,97,1.23
1.71,86,1.19
2.23,112,0.96
1.95,136,1.06
2.4,101,1.19
2.0,86,1.38
2.2,86,1.16
2.51,78,1.31
2.32,85,0.84
2.58,94,0.79
2.24,99,1.23
2.31,90,1.33
2.62,88,1.36
2.46,84,1.0
2.3,70,1.07
2.32,81,1.08
2.42,86,1.05
2.26,80,0.96
2.22,88,1.15
2.28,98,1.16
2.2,162,1.16
2.74,134,0.95
1.98,85,1.23
2.1,88,1.04
2.21,88,1.42
1.7,97,1.27
1.9,88,1.04
2.46,98,0.8
1.88,86,0.94
1.98,85,1.04
2.27,90,0.86
2.12,80,1.0
2.28,84,0.88
1.94,92,0.86
2.7,94,0.96
1.82,107,0.75
2.17,88,0.9
2.92,103,1.23
2.5,88,1.1
2.5,84,0.93
2.2,85,1.71
1.99,86,0.95
2.19,108,1.06
1.98,80,0.7
2.0,87,0.93
2.42,96,0.8
3.23,119,0.93
2.73,102,0.92
2.13,86,0.73
2.39,82,0.75
2.17,85,0.86
2.29,86,0.69
2.78,92,0.97
2.3,88,0.89
2.38,80,0.79
2.32,122,0.76
2.4,104,0.74
2.4,98,0.66
2.36,106,0.78
2.25,85,0.75
2.2,94,0.73
2.54,89,0.75
2.64,96,0.82
2.19,88,0.81
2.61,101,0.89
2.7,96,0.77
2.35,89,0.7
2.72,97,0.89
2.35,92,0.91
2.2,112,0.65
2.15,102,0.6
2.23,80,0.58
2.48,86,0.54
2.38,92,0.55
2.36,113,0.57
2.62,123,0.59
2.48,112,0.48
2.75,116,0.61
2.28,98,0.56
2.1,103,0.58
2.32,93,0.6
2.38,89,0.57
2.64,97,0.67
2.7,98,0.57
2.64,89,0.57
2.38,88,0.56
2.54,107,0.96
2.58,106,0.87
2.35,106,0.68
2.3,90,0.7
2.26,88,0.78
2.6,111,0.85
2.3,88,0.72
2.69,105,0.74
2.86,112,0.67
2.32,96,0.66
2.28,86,0.57
2.48,91,0.62
2.45,95,0.64
2.48,102,0.7
2.26,120,0.59
2.37,120,0.6
2.74,96,0.61
